word, number of occurences
ser, 69399
haber, 46895
onu, 41329
país, 39588
hoy, 23917
general, 20243
internacional, 19905
año, 18923
persona, 17726
gobierno, 16788
poder, 16494
tener, 16170
parte, 15934
naciones, 15871
unidas, 15797
decir, 14436
deber, 14121
millones, 13972
seguridad, 13769
derecho, 13441
secretario, 13217
mundial, 13009
organización, 12635
hacer, 12264
humano, 12126
desarrollo, 11480
señalar, 11437
ban, 11123
niño, 10105
consejo, 9568
población, 9382
región, 9095
nuevo, 9020
salud, 8751
paz, 8748
alto, 8475
mundo, 8287
grupo, 8275
violencia, 8221
situación, 8080
comunidad, 7976
subrayar, 7966
especial, 7959
además, 7958
programa, 7913
humanitario, 7845
según, 7843
grande, 7734
día, 7681
pasar, 7661
agregar, 7618
informe, 7511
dos, 7479
organismo, 7243
medio, 7158
autoridad, 7148
civil, 7044
conflicto, 6970
destacar, 6917
indicar, 6834
presidente, 6703
mujer, 6687
afirmar, 6510
misión, 6404
político, 6335
trabajo, 6244
incluir, 6213
así, 6153
representante, 6105
afectar, 6030
explicar, 5935
medida, 5863
oficina, 5774
último, 5748
vida, 5626
dar, 5576
económico, 5525
caso, 5501
expresar, 5438
fondo, 5436
comunicar, 5430
ki, 5424
moon, 5420
encontrar, 5398
proceso, 5385
asistencia, 5372
experto, 5367
acuerdo, 5358
nacional, 5358
fuerza, 5320
celebrar, 5314
objetivo, 5245
si, 5238
próximo, 5185
dólar, 5128
seguir, 5113
informar, 5111
alimento, 5087
esfuerzo, 5085
pedir, 5065
crisis, 5051
recordar, 5007
continuar, 4947
ayuda, 4922
portavoz, 4915
septiembre, 4912
necesidad, 4892
semana, 4866
nivel, 4840
cada, 4794
conferencia, 4779
mes, 4710
acnur, 4692
junio, 4663
miembro, 4620
fao, 4615
fin, 4606
alguno, 4585
oms, 4535
ataque, 4527
annan, 4505
marzo, 4480
reunión, 4465
acceso, 4417
vez, 4405
considerar, 4392
presentar, 4389
poner, 4369
abril, 4357
tres, 4356
américa, 4355
mayo, 4344
octubre, 4339
recibir, 4256
prensa, 4252
diciembre, 4243
enfermedad, 4229
muerte, 4217
cambio, 4194
enero, 4191
zona, 4179
ayudar, 4158
advertir, 4143
alcanzar, 4132
apoyo, 4130
pueblo, 4129
víctima, 4096
derechos, 4095
director, 4090
trabajar, 4080
permitir, 4076
social, 4075
julio, 4069
instar, 4048
palestino, 4018
unidos, 4017
necesitar, 3956
llegar, 3956
noviembre, 3924
tomar, 3908
agosto, 3893
sistema, 3891
menos, 3869
desplazar, 3846
líder, 3826
sólo, 3825
educación, 3808
realizar, 3790
tras, 3789
febrero, 3787
protección, 3786
tema, 3779
sur, 3764
vivir, 3753
asamblea, 3751
mismo, 3714
refugiado, 3714
preocupación, 3679
iraq, 3668
información, 3652
unicef, 3652
lograr, 3646
siria, 3640
reducir, 3611
compromiso, 3589
armar, 3565
comisión, 3565
público, 3539
acción, 3532
llamar, 3521
agua, 3504
recurso, 3502
primero, 3496
momento, 3495
servicio, 3491
ley, 3486
problema, 3484
número, 3466
riesgo, 3458
pma, 3430
operación, 3421
condición, 3405
ginebra, 3398
latina, 3394
aumentar, 3388
urgir, 3387
sociedad, 3385
muerto, 3383
ciudad, 3381
asegurar, 3377
establecer, 3370
importante, 3364
apoyar, 3356
anunciar, 3355
iniciativa, 3351
área, 3346
proteger, 3345
lugar, 3339
familia, 3328
crimen, 3315
sostener, 3305
participar, 3300
llevar, 3296
reciente, 3295
sector, 3283
bajo, 3270
principal, 3252
varios, 3249
necesario, 3248
pobreza, 3248
república, 3193
sudán, 3167
ministro, 3165
mil, 3161
política, 3103
mantener, 3099
militar, 3097
personal, 3087
grave, 3085
causar, 3083
enviar, 3078
asimismo, 3063
titular, 3062
actividad, 3052
registrar, 3041
garantizar, 3037
unesco, 3033
después, 3012
responsable, 3008
tratar, 2993
mejorar, 2989
ir, 2982
unión, 2951
áfrica, 2932
emergencia, 2922
resolución, 2917
funcionario, 2908
dejar, 2900
