word, number of occurences
onu, 41329
hoy, 23917
país, 20853
general, 20039
países, 18911
naciones, 17382
personas, 17094
unidas, 15834
internacional, 15365
millones, 13972
seguridad, 13765
gobierno, 13534
derechos, 13349
dijo, 13068
secretario, 12784
mundial, 12179
desarrollo, 11454
parte, 11132
ban, 11123
humanos, 10669
organización, 10329
señaló, 9986
año, 9924
consejo, 9506
años, 9001
población, 8760
salud, 8751
paz, 8747
mundo, 8281
violencia, 8218
además, 7958
niños, 7916
según, 7843
región, 7801
dos, 7479
situación, 7403
agregó, 7236
subrayó, 6860
informe, 6856
refugiados, 6559
autoridades, 6222
así, 6145
ser, 6035
presidente, 5991
misión, 5957
programa, 5934
pasado, 5904
alto, 5789
especial, 5751
mujeres, 5686
afirmó, 5658
organismo, 5608
trabajo, 5544
explicó, 5429
ki, 5424
moon, 5420
asistencia, 5370
oficina, 5333
comunicado, 5329
indicó, 5322
si, 5238
comunidad, 5227
conflicto, 5171
crisis, 5051
alimentos, 5050
destacó, 5021
medidas, 4967
dólares, 4959
ayuda, 4922
septiembre, 4912
portavoz, 4908
partes, 4897
medio, 4848
proceso, 4811
cada, 4794
grupo, 4770
acuerdo, 4733
conferencia, 4713
acnur, 4692
junio, 4663
sido, 4658
fao, 4615
mayor, 4574
oms, 4535
annan, 4505
internacionales, 4496
marzo, 4480
esfuerzos, 4402
debe, 4396
acceso, 4392
miembros, 4387
abril, 4357
tres, 4356
mayo, 4345
octubre, 4339
nueva, 4294
todas, 4269
recordó, 4269
prensa, 4254
diciembre, 4243
enero, 4191
día, 4189
derecho, 4185
expresó, 4143
unidos, 4114
apoyo, 4105
julio, 4061
humanitaria, 4059
vida, 4037
fin, 4027
director, 4021
puede, 4019
informó, 4014
representante, 4002
civiles, 4001
reunión, 3988
noviembre, 3924
siria, 3923
agosto, 3904
américa, 3898
menos, 3869
sólo, 3825
educación, 3808
tras, 3789
febrero, 3787
víctimas, 3777
protección, 3776
sur, 3764
deben, 3752
asamblea, 3740
gran, 3688
iraq, 3668
unicef, 3652
nivel, 3634
semana, 3578
gobiernos, 3557
vez, 3556
grupos, 3505
comisión, 3494
días, 3493
cambio, 3491
advirtió, 3489
fondo, 3441
pma, 3430
latina, 3405
nacional, 3405
ginebra, 3398
número, 3375
fuerzas, 3371
casos, 3348
recursos, 3346
nuevo, 3320
instó, 3279
preocupación, 3250
pobreza, 3248
políticas, 3225
alta, 3212
república, 3182
agua, 3169
sudán, 3167
pidió, 3162
expertos, 3136
civil, 3133
objetivo, 3118
asimismo, 3063
condiciones, 3047
información, 3046
unesco, 3033
hace, 3024
después, 3011
titular, 2972
hacer, 2969
agencia, 2950
unión, 2939
armas, 2938
momento, 2937
áfrica, 2932
personal, 2919
servicios, 2888
norte, 2861
justicia, 2841
política, 2838
cinco, 2836
palestinos, 2831
compromiso, 2814
hacia, 2782
primera, 2781
necesidad, 2769
sociedad, 2767
últimos, 2758
primer, 2758
pueden, 2756
comunidades, 2753
pueblo, 2750
meses, 2744
uso, 2734
líderes, 2721
urgió, 2720
menores, 2709
israel, 2703
debido, 2696
familias, 2686
falta, 2681
trabajadores, 2656
manera, 2656
ataques, 2651
aún, 2649
sistema, 2644
asuntos, 2633
sostuvo, 2631
mismo, 2628
embargo, 2619
social, 2597
muerte, 2594
climático, 2586
lugar, 2569
iniciativa, 2562
resolución, 2559
agricultura, 2559
desplazados, 2543
importancia, 2543
guerra, 2537
emergencia, 2471
comisionado, 2464
ahora, 2445
anunció, 2435
visita, 2432
operaciones, 2431
méxico, 2423
añadió, 2419
cerca, 2412
capital, 2412
ayudar, 2404
importante, 2401
ciudad, 2375
alimentaria, 2364
ministro, 2351
humanitarios, 2347
caribe, 2347
consideró, 2334
sector, 2330
darfur, 2321
áreas, 2320
organizaciones, 2312
colombia, 2308
riesgo, 2304
tiempo, 2304
global, 2302
proteger, 2296
hambre, 2296
forma, 2294
actividades, 2290
bajo, 2287
mientras, 2287
casi, 2283
garantizar, 2282
apuntó, 2281
enfermedad, 2279
estudio, 2278
evitar, 2277
reducir, 2274
mejorar, 2265
tema, 2259
tipo, 2257
haití, 2256
cuatro, 2250
zonas, 2246
armados, 2235
crecimiento, 2235
afganistán, 2233
próximo, 2229
mayoría, 2221
representantes, 2216
kofi, 2212
económica, 2204
gaza, 2174
cooperación, 2164
sostenible, 2163
documento, 2163
muertos, 2162
lucha, 2160
caso, 2153
diálogo, 2136
miles, 2133
ex, 2124
necesidades, 2124
respuesta, 2117
reiteró, 2109
producción, 2107
alimentación, 2096
políticos, 2096
fuerza, 2094
podría, 2094
objetivos, 2094
sede, 2090
plan, 2080
aunque, 2078
libertad, 2077
cuenta, 2076
medios, 2074
posible, 2071
comercio, 2060
varios, 2054
causa, 2038
